Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1196859.65,1218157.76,1260254.99,1308229.44,1348899.36,1373959.43,1403802.35,1432210.78,1449614.05,1465783.11,1479068.66,1504668.76,1494626.21,1507920.5,1521572.82,1519111.61,1517578.14,1517053.27,1523714.87,1524165.85,1530353.53,1548236.87,1569384.78,1586879.9,1608379.9,1642314.43,1678938.64,1730927.42,1777606.35,1819607.22,1196859.65,1218157.76,1260254.99,1308229.44,1348899.36,1373959.43,1403802.35,1432210.78,1449614.05,1465783.11,1479068.66,1504668.76,1494626.21,1507920.5,1521572.82,1519111.61,1517578.14,1517053.27,1523714.87,1524165.85,1530353.53,1548236.87,1569384.78,1586879.9,1608379.9,1642314.43,1678938.64,1730927.42,1777606.35,1819607.22,1760495.36,1822091.25,1918834.04,2076185.08,2354550.36,2593872.69,2718505.88,2696536.11,2754910.22,2791902.56,2852036.69,2811902.6,2865120.92,1821658.32,1532123.98,1498626.81,1478094.18,1460712.11,1599057.64,1636966.17,1483382.69,1444997.06,1416502.63,1156760.58,1063511.37,1053909.5,974230.26,928623.03,973680.21,865147.67,150174.57,159530.3,177364.33,192099.13,199842.12,205752.78,211963.13,218037.21,219364.55,218608.11,219466.61,225331,233059.18,248644.96,258788.46,265199.18,269030.01,274384.35,279833.23,285858.19,295786.52,305096.82,314303.23,325989.63,333929.14,340920.31,351584.3,362457.35,371512.11,382679.59
African Region (WHO),17255018.59,17601352.33,18046602.8,18321914.81,18731770.92,19091260.98,19558213.67,20088607.67,20512263.42,20797351.17,21141074.67,21292454.49,21563795.63,21834554.34,22053528.68,22214218.74,22512983.79,22738024.07,23048067.3,23451115.9,23805354.29,24250764.73,24753389.78,25236105.23,25783495.64,26435166.83,26956321.51,27504055.7,28029914.59,28596035.04,17255018.59,17601352.33,18046602.8,18321914.81,18731770.92,19091260.98,19558213.67,20088607.67,20512263.42,20797351.17,21141074.67,21292454.49,21563795.63,21834554.34,22053528.68,22214218.74,22512983.79,22738024.07,23048067.3,23451115.9,23805354.29,24250764.73,24753389.78,25236105.23,25783495.64,26435166.83,26956321.51,27504055.7,28029914.59,28596035.04,56275200.43,56280736.05,56098767.91,55937972.49,55821052.43,56105694.95,57878140.95,56237466.07,55451591.11,55073806.43,54033439.56,52262913.62,49688984.09,47789236.38,45050979.2,42736895.24,37729190.85,35407467,35008865.62,34203052.13,33827094.97,34092404.04,33358570.08,31732821.59,30956832.12,29179276.81,27849543.85,26520335.28,25390474.17,24844253.55,4732382.09,4855887.88,4989451.8,5116398.25,5257214.7,5395226.6,5545161.84,5713819.68,5889277.32,6060475.69,6237265.39,6402327.71,6583926.04,6757092.96,6929173.06,7103522.62,7297652.28,7472901.68,7644768.76,7835872.66,8034845.5,8242302.05,8451943.05,8669723.81,8890888.9,9121608.24,9402949.43,9694704.94,9963106.72,10232077.53
Albania,143094.5,149163.87,144977.21,140198.86,133727.33,138832.61,144412.71,149735.09,154412.98,156599.78,157708.97,155835.94,165010.81,178516.04,183519.28,184057.53,177888.19,173464.13,179074.66,179897.15,182296.72,188016.82,191570.06,195905.37,202399.65,208983.95,212330.69,215443.54,218399.52,221259.93,143094.5,149163.87,144977.21,140198.86,133727.33,138832.61,144412.71,149735.09,154412.98,156599.78,157708.97,155835.94,165010.81,178516.04,183519.28,184057.53,177888.19,173464.13,179074.66,179897.15,182296.72,188016.82,191570.06,195905.37,202399.65,208983.95,212330.69,215443.54,218399.52,221259.93,37087.98,20422.03,19951.56,18846.92,17527.12,15967.26,15049.05,13909.52,13046.43,11237.04,9978.41,8939.45,8120.95,7599.55,7108.88,6556.45,5968.36,5268.92,4772.27,4238.11,3928.69,3723.35,3699.77,3692.5,3729.98,3768.55,3688.25,3626.19,3753.89,3612.43,40042.58,41383.59,41755.38,42491.73,42759.42,43044.51,43165.24,44135.56,45209.11,43941.58,42882.84,42394.63,42636.32,43243.26,43417.78,43356.95,42878.71,42307.66,42262.1,42340.03,42591.1,43151.01,43471.49,43736.46,44096.59,44662.01,45202.35,45648.42,46050.25,46451.3
Algeria,1367351.44,1391652.44,1412523.2,1433931,1456960.95,1470934.18,1481013.75,1491343.04,1494546.45,1521180.89,1531597.95,1540953.46,1548850.23,1553072.29,1563467.16,1573150.72,1586192.33,1601878.36,1619147.65,1640549.91,1662623.66,1696969.34,1730686.59,1766711,1810932.89,1854872.85,1889904.28,1938819.48,1999040.8,2053640.89,1367351.44,1391652.44,1412523.2,1433931,1456960.95,1470934.18,1481013.75,1491343.04,1494546.45,1521180.89,1531597.95,1540953.46,1548850.23,1553072.29,1563467.16,1573150.72,1586192.33,1601878.36,1619147.65,1640549.91,1662623.66,1696969.34,1730686.59,1766711,1810932.89,1854872.85,1889904.28,1938819.48,1999040.8,2053640.89,452951.3,422325.04,396777.44,376424.43,354694.09,330159.47,307687.88,227829.29,194179.23,172274.13,151113.39,125497.69,124126.97,117832.4,96812.97,91979.23,90298.92,88588.19,86294,95856.38,96798.49,98722.3,101245.84,104062.11,105277.62,105157.63,98653.36,99670.22,89924.97,82760.38,270713.27,277110.91,284244.05,291827.22,299429.92,306830.78,314121.72,321711.61,328625.64,335757.36,342575.34,349988.19,356873.78,363288.26,370748.53,377965.94,385232.85,392494.31,399583.93,406778.44,414631.81,422946.32,431178.01,439543.06,448522.24,457526.91,466359.85,475797.53,485696.19,494778.09
American Samoa,1998.49,2080.42,2152.31,2203.72,2266.83,2322.88,2382.07,2443.05,2492.3,2566.61,2574.14,2605.61,2615.02,2609.34,2605.81,2621.19,2666.56,2692.95,2751.6,2813.56,2839.21,2881.09,2937.71,3003.43,3059.12,3107.83,3164.31,3208.46,3249.06,3287.05,1998.49,2080.42,2152.31,2203.72,2266.83,2322.88,2382.07,2443.05,2492.3,2566.61,2574.14,2605.61,2615.02,2609.34,2605.81,2621.19,2666.56,2692.95,2751.6,2813.56,2839.21,2881.09,2937.71,3003.43,3059.12,3107.83,3164.31,3208.46,3249.06,3287.05,378.32,380.89,382.84,379.31,367.74,358.73,349.49,341.33,340.61,332.14,330.03,323.65,322.66,315.56,309.98,303.58,296.7,290.43,282.81,274.98,268.12,260.42,244.99,238.3,231.37,226.52,224.15,221.61,218.55,215.67,432.24,446.49,459.8,472.96,487.06,500.41,512.67,524.57,531.66,540.91,552.4,560.69,569.91,578.54,583.2,586.62,590.73,592.89,596,598.81,600.84,605.96,609.41,612.23,615.58,618.39,622.22,625.21,629.34,633.95
Andorra,1416.43,1496.75,1586.56,1681.24,1721.57,1741.12,1768.26,1799.58,1823.58,1848.55,1881.77,1914.03,1955.76,2002.48,2059.42,2075.52,2120.91,2159.03,2207.96,2266.76,2324.35,2234.74,2220.37,2259.38,2302.08,2363.47,2412.85,2483.59,2549.56,2612.38,1416.43,1496.75,1586.56,1681.24,1721.57,1741.12,1768.26,1799.58,1823.58,1848.55,1881.77,1914.03,1955.76,2002.48,2059.42,2075.52,2120.91,2159.03,2207.96,2266.76,2324.35,2234.74,2220.37,2259.38,2302.08,2363.47,2412.85,2483.59,2549.56,2612.38,74.86,74.89,72.02,74.01,74.1,73.47,72.94,71.66,71.05,68.63,67.23,64.85,63.48,64.8,66.93,67.61,69,69.52,70,69.62,69.15,64.48,61.35,58.38,56.5,56.29,56.91,58.18,59.09,59.86,745.07,808.71,857.07,911.07,921.04,928.3,947.83,972.31,993.8,1010.99,1027.1,1049.83,1081.77,1156.28,1227.93,1265.15,1312.64,1355.72,1389.39,1406.29,1427.63,1361.79,1350.63,1361.23,1384.24,1411.14,1432.48,1472.66,1504.33,1532.77
Angola,371548.17,380409.01,391466.33,407335.59,421976.78,429709.11,428314.92,435574.7,455322.11,471852,481973.82,486103.15,489871.11,503802.02,524863.45,526684.19,538142.36,544309.79,559054.09,572539.43,586842.87,601455.13,617077.47,628047.83,628707.16,646169.85,662495.92,687923.39,714112.33,740922.26,371548.17,380409.01,391466.33,407335.59,421976.78,429709.11,428314.92,435574.7,455322.11,471852,481973.82,486103.15,489871.11,503802.02,524863.45,526684.19,538142.36,544309.79,559054.09,572539.43,586842.87,601455.13,617077.47,628047.83,628707.16,646169.85,662495.92,687923.39,714112.33,740922.26,1181039.15,1200553.53,1204246.02,1249766.61,1268309.39,1245464.4,1241472.62,1251786.61,1248146.46,1281037.86,1272538.37,1306253.31,1340957.52,1354548.64,1000456.46,967912.37,974789.1,922387.82,976604.83,1146178.55,1040104.7,1023580.55,953617.13,923963.41,905583.95,802470.32,778274.34,754044.07,745874.22,654387.46,108829.48,111886.58,115550.23,119712.92,123889.74,127221.72,129716.77,133628.81,139490.56,145080.85,149883.68,155083.85,160527.77,167075.17,175422.99,181111.95,187758.06,194433.25,201332.36,208300.3,216102.29,222968.56,229811.5,236143.16,242273.24,250503.19,258456.6,268413.13,277292.61,286536.33
Antigua and Barbuda,3230.16,3243.32,3270.62,3428.21,3430.9,3467.23,3282.21,3234.64,3197.09,3168.77,3114.03,3087.4,3080.93,3091.86,3094.78,3119.65,3174.84,3464.61,3493.41,3330.42,3379.71,3442.95,3483.22,3538,3673.46,3743.64,3817.98,3895.13,3960.48,4032.49,3230.16,3243.32,3270.62,3428.21,3430.9,3467.23,3282.21,3234.64,3197.09,3168.77,3114.03,3087.4,3080.93,3091.86,3094.78,3119.65,3174.84,3464.61,3493.41,3330.42,3379.71,3442.95,3483.22,3538,3673.46,3743.64,3817.98,3895.13,3960.48,4032.49,189.24,179.34,177.6,179.19,176.62,175.67,177.54,172.23,166.52,163.45,153.57,148.25,145.2,141.49,140.54,137.97,135.42,129.55,126.76,125.12,125.52,124.79,123.42,120.25,118.41,115.36,114.7,115.14,114.15,113.28,867.38,881.41,898.5,926.26,946.54,963.98,991.01,1011.63,1035.01,1056.71,1078.12,1089.53,1107.9,1124.69,1138.94,1150.05,1164.36,1173.5,1182.65,1187.79,1203.55,1215.54,1225.37,1232.78,1245.17,1253.39,1264.37,1277.93,1289.19,1301.84
Argentina,2083500.28,2058479.36,2063623.28,2025592.2,1967578.04,1955046.62,1940312.07,1916836.82,1906951.92,1896166.13,1817752.14,1803051.23,1815904.87,1810232.13,1754399.63,1717555.84,1711038.32,1741938.97,1699451.63,1699223.24,1710853.31,1712322.49,1710450.07,1711235.29,1705840.34,1737828.23,1813542.2,1844627.09,1842475,1864505.36,2083500.28,2058479.36,2063623.28,2025592.2,1967578.04,1955046.62,1940312.07,1916836.82,1906951.92,1896166.13,1817752.14,1803051.23,1815904.87,1810232.13,1754399.63,1717555.84,1711038.32,1741938.97,1699451.63,1699223.24,1710853.31,1712322.49,1710450.07,1711235.29,1705840.34,1737828.23,1813542.2,1844627.09,1842475,1864505.36,86970.02,85202.14,81541.35,79850.56,76542.05,75619.51,74375.1,70231.02,68974.88,66535.82,64221.8,62975.76,63235.72,62790.34,61655.2,60145.7,59567.6,59932.28,60124.14,59879.07,59867.29,59739.97,55147.69,53868.8,53255.03,52791.68,52806.1,52254.55,51569.11,51245.73,321662.75,326792.15,332882.88,338655.22,344769.41,352741.39,360809.13,370417.47,379443.27,387912.91,393961.7,402020.55,409972.94,416717.09,422234.1,428742.02,437198.9,449010.35,458549.41,469280.96,479964.18,488684.93,496704.85,504691.84,511871.11,520244.71,529924.74,536752.95,541717.9,548735.42
